Date,Country,Confirmed
28 March 2020,Afghanistan,110
31 March 2020,Afghanistan,174
01 April 2020,Afghanistan,237
04 April 2020,Afghanistan,299
06 April 2020,Afghanistan,367
11 April 2020,Afghanistan,555
15 April 2020,Afghanistan,784
19 April 2020,Afghanistan,996
23 April 2020,Afghanistan,1279
27 April 2020,Afghanistan,1703
30 April 2020,Afghanistan,2171
01 May 2020,Afghanistan,2335
02 May 2020,Afghanistan,2469
03 May 2020,Afghanistan,2704
04 May 2020,Afghanistan,2894
05 May 2020,Afghanistan,3224
06 May 2020,Afghanistan,3392
07 May 2020,Afghanistan,3563
08 May 2020,Afghanistan,3778
09 May 2020,Afghanistan,4033
10 May 2020,Afghanistan,4402
11 May 2020,Afghanistan,4687
12 May 2020,Afghanistan,4963
13 May 2020,Afghanistan,5226
14 May 2020,Afghanistan,5639
15 May 2020,Afghanistan,6053
16 May 2020,Afghanistan,6402
17 May 2020,Afghanistan,6664
18 May 2020,Afghanistan,7072
19 May 2020,Afghanistan,7653
20 May 2020,Afghanistan,8145
21 May 2020,Afghanistan,8676
22 May 2020,Afghanistan,9216
23 May 2020,Afghanistan,9998
24 May 2020,Afghanistan,10582
25 May 2020,Afghanistan,11173
26 May 2020,Afghanistan,11831
24 March 2020,Albania,123
28 March 2020,Albania,197
31 March 2020,Albania,243
01 April 2020,Albania,259
04 April 2020,Albania,333
06 April 2020,Albania,377
11 April 2020,Albania,433
15 April 2020,Albania,494
19 April 2020,Albania,562
23 April 2020,Albania,663
27 April 2020,Albania,736
30 April 2020,Albania,773
01 May 2020,Albania,782
02 May 2020,Albania,789
03 May 2020,Albania,795
04 May 2020,Albania,803
05 May 2020,Albania,820
06 May 2020,Albania,832
07 May 2020,Albania,842
08 May 2020,Albania,850
09 May 2020,Albania,856
10 May 2020,Albania,868
11 May 2020,Albania,872
12 May 2020,Albania,876
13 May 2020,Albania,880
14 May 2020,Albania,898
15 May 2020,Albania,916
16 May 2020,Albania,933
17 May 2020,Albania,946
18 May 2020,Albania,948
19 May 2020,Albania,949
20 May 2020,Albania,964
21 May 2020,Albania,969
22 May 2020,Albania,981
23 May 2020,Albania,989
24 May 2020,Albania,998
25 May 2020,Albania,1004
26 May 2020,Albania,1029
24 March 2020,Algeria,264
28 March 2020,Algeria,454
31 March 2020,Algeria,716
01 April 2020,Algeria,847
04 April 2020,Algeria,1251
06 April 2020,Algeria,1423
11 April 2020,Algeria,1825
15 April 2020,Algeria,2160
19 April 2020,Algeria,2629
23 April 2020,Algeria,3007
27 April 2020,Algeria,3517
30 April 2020,Algeria,4006
01 May 2020,Algeria,4154
02 May 2020,Algeria,4295
03 May 2020,Algeria,4474
04 May 2020,Algeria,4648
05 May 2020,Algeria,4838
06 May 2020,Algeria,4997
07 May 2020,Algeria,5182
08 May 2020,Algeria,5369
09 May 2020,Algeria,5558
10 May 2020,Algeria,5723
11 May 2020,Algeria,5891
12 May 2020,Algeria,6067
13 May 2020,Algeria,6253
14 May 2020,Algeria,6442
15 May 2020,Algeria,6629
16 May 2020,Algeria,6821
17 May 2020,Algeria,7019
18 May 2020,Algeria,7201
19 May 2020,Algeria,7377
20 May 2020,Algeria,7542
21 May 2020,Algeria,7728
22 May 2020,Algeria,7918
23 May 2020,Algeria,8113
24 May 2020,Algeria,8306
25 May 2020,Algeria,8503
26 May 2020,Algeria,8697
24 March 2020,Andorra,164
28 March 2020,Andorra,308
31 March 2020,Andorra,376
01 April 2020,Andorra,390
04 April 2020,Andorra,466
06 April 2020,Andorra,525
11 April 2020,Andorra,601
15 April 2020,Andorra,673
19 April 2020,Andorra,713
23 April 2020,Andorra,723
27 April 2020,Andorra,743
30 April 2020,Andorra,745
01 May 2020,Andorra,745
02 May 2020,Andorra,747
03 May 2020,Andorra,748
04 May 2020,Andorra,750
05 May 2020,Andorra,751
06 May 2020,Andorra,751
07 May 2020,Andorra,752
08 May 2020,Andorra,752
09 May 2020,Andorra,754
10 May 2020,Andorra,755
11 May 2020,Andorra,755
12 May 2020,Andorra,758
13 May 2020,Andorra,760
14 May 2020,Andorra,761
15 May 2020,Andorra,761
16 May 2020,Andorra,761
17 May 2020,Andorra,761
18 May 2020,Andorra,761
19 May 2020,Andorra,761
20 May 2020,Andorra,762
21 May 2020,Andorra,762
22 May 2020,Andorra,762
23 May 2020,Andorra,762
24 May 2020,Andorra,762
25 May 2020,Andorra,763
26 May 2020,Andorra,763
20 March 2020,Argentina,128
24 March 2020,Argentina,387
28 March 2020,Argentina,690
31 March 2020,Argentina,1054
01 April 2020,Argentina,1054
04 April 2020,Argentina,1451
06 April 2020,Argentina,1554
11 April 2020,Argentina,1975
15 April 2020,Argentina,2443
19 April 2020,Argentina,2839
23 April 2020,Argentina,3435
27 April 2020,Argentina,4003
30 April 2020,Argentina,4428
01 May 2020,Argentina,4532
02 May 2020,Argentina,4681
03 May 2020,Argentina,4783
04 May 2020,Argentina,4887
05 May 2020,Argentina,5020
06 May 2020,Argentina,5208
07 May 2020,Argentina,5371
08 May 2020,Argentina,5611
09 May 2020,Argentina,5776
10 May 2020,Argentina,6034
11 May 2020,Argentina,6278
12 May 2020,Argentina,6563
13 May 2020,Argentina,6879
14 May 2020,Argentina,7134
15 May 2020,Argentina,7479
16 May 2020,Argentina,7805
17 May 2020,Argentina,8068
18 May 2020,Argentina,8371
19 May 2020,Argentina,8809
20 May 2020,Argentina,9283
21 May 2020,Argentina,9931
22 May 2020,Argentina,10649
23 May 2020,Argentina,11353
24 May 2020,Argentina,12076
25 May 2020,Argentina,12628
26 May 2020,Argentina,13228
20 March 2020,Armenia,136
24 March 2020,Armenia,249
28 March 2020,Armenia,407
31 March 2020,Armenia,532
01 April 2020,Armenia,571
04 April 2020,Armenia,770
06 April 2020,Armenia,833
11 April 2020,Armenia,967
15 April 2020,Armenia,1111
19 April 2020,Armenia,1291
23 April 2020,Armenia,1523
27 April 2020,Armenia,1808
30 April 2020,Armenia,2066
